played_at,track_id,track_name,album,album_date,artists
2025-04-28T17:20:59.760Z,4RoKNqyZ9622tcAeNPNv5k,City Boys,I Told Them...,2023-08-24,Burna Boy
2025-04-27T18:48:01.766Z,2p8IUWQDrpjuFltbdgLOag,After Hours,After Hours,2020-03-20,The Weeknd
2025-04-27T18:43:46.393Z,2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,ASTROWORLD,2018-08-03,Travis Scott
2025-04-27T18:40:35.254Z,6LyAwkJsHlW7RQ8S1cYAtM,Overdue (with Travis Scott),NOT ALL HEROES WEAR CAPES (Deluxe),2018-11-06,"Metro Boomin, Travis Scott"
2025-04-27T18:37:48.684Z,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,ASTROWORLD,2018-08-03,Travis Scott
2025-04-27T18:32:35.345Z,3OxL6MuctgZp1e0zxoAZhH,Young Metro,WE DON'T TRUST YOU,2024-03-22,"Future, Metro Boomin, The Weeknd"
2025-04-27T18:29:09.507Z,4LMlVCXHJtCE9abhmn0mYo,Pal Pal,Pal Pal,2025-02-17,"Afusic, AliSoomroMusic"
2025-04-27T17:55:49.186Z,69qKVdIkwx1LPb6TTyHzJO,Radhe Radhe Barsane Wali Radhe,Radhe Radhe Barsane Wali Radhe,2022-09-12,Vipul
2025-04-27T16:51:08.064Z,75OSVIdR2KPpEmViMt8MX2,Pal Pal (with Talwiinder),Pal Pal (with Talwiinder),2025-04-10,"Afusic, Talwiinder, AliSoomroMusic"
2025-04-27T16:47:39.494Z,4LMlVCXHJtCE9abhmn0mYo,Pal Pal,Pal Pal,2025-02-17,"Afusic, AliSoomroMusic"
2025-04-26T02:23:47.062Z,5fBghXeYCGIEVuExKytoJ9,Fell For You,Sicario,2025-01-17,Shubh
2025-04-26T02:16:19.864Z,2mdwuBtT1alepau9g6GwnC,O Beliya,Out of Control,2024-10-18,Darshan Raval
2025-04-26T02:13:22.792Z,0TNB0RJsCi4WmeYtRqyAdt,Game,Game,2020-09-03,"Shooter Kahlon, Sidhu Moose Wala"
2025-04-24T23:01:00.143Z,5PdLhmHOy2dnnFIMrj8in0,So High,So High,2017-08-10,Sidhu Moose Wala
2025-04-24T19:40:40.365Z,6DCZcSspjsKoFjzjrWoCdn,God's Plan,Scorpion,2018-06-29,Drake
2025-04-24T19:40:37.249Z,1zi7xx7UVEFkmKfv06H8x0,One Dance,Views,2016-05-06,"Drake, Wizkid, Kyla"
2025-04-24T19:37:42.730Z,2S7RApTsKT0CtYojYq2cKz,L'italiano,L'Italiano,1983-02-01,Toto Cutugno
2025-04-24T17:01:30.017Z,3tgdOveYac7YMEAQD9sGLf,Bulleya,Sultan,2016-05-31,"Vishal-Shekhar, Papon, Irshad Kamil"
2025-04-24T17:01:27.281Z,3xgA3KSsd8mt3UjQxNtQy3,Bajrang Baan-Lofi,Bajrang Baan-Lofi,2023-01-05,Rasraj Ji Maharaj
2025-04-24T16:51:59.924Z,3qhlB30KknSejmIvZZLjOD,End of Beginning,DECIDE,2022-09-16,Djo
2025-04-24T16:51:31.808Z,2S7RApTsKT0CtYojYq2cKz,L'italiano,L'Italiano,1983-02-01,Toto Cutugno
2025-04-24T16:47:27.585Z,2S7RApTsKT0CtYojYq2cKz,L'italiano,L'Italiano,1983-02-01,Toto Cutugno
2025-04-24T05:40:57.767Z,2S7RApTsKT0CtYojYq2cKz,L'italiano,L'Italiano,1983-02-01,Toto Cutugno
2025-04-24T04:13:25.146Z,2S7RApTsKT0CtYojYq2cKz,L'italiano,L'Italiano,1983-02-01,Toto Cutugno
2025-04-24T04:10:42.676Z,2S7RApTsKT0CtYojYq2cKz,L'italiano,L'Italiano,1983-02-01,Toto Cutugno
2025-04-19T06:00:58.208Z,0zHr3JEWjGmpWaVZduvGcu,"Matargashti (From ""Tamasha"")",Mohit Chauhan's Greatest Hits,2025-03-10,Mohit Chauhan
2025-04-18T00:34:11.727Z,665b3Nss3OQmhTUdB5hBXw,Bheegi Si Bhaagi Si,Raajneeti (Original Motion Picture Soundtrack),2010-05-12,"Pritam, Mohit Chauhan, Antara Mitra"
2025-04-18T00:33:52.500Z,45PA9lW7U5LYnlpGrdTyHY,Sang Rahiyo,Sang Rahiyo,2020-09-10,"Jasleen Royal, Ujjwal Kashyap"
2025-04-18T00:30:18.707Z,4dPeCbg2Op44s9kwyMS3ZT,Sadka,I Hate Luv Storys (Original Motion Picture Soundtrack),2010-05-25,"Vishal-Shekhar, Suraj Jagan, Mahalakshmi Iyer"
2025-04-18T00:24:21.305Z,1gEHNfJRSXpDVaEicwRRfe,Zinda,Lootera,2013-05-29,Amit Trivedi
2025-04-18T00:19:58.016Z,21WGzPtMAh0JaU96gGsADC,Gurbani,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),2013-06-14,"Shankar-Ehsaan-Loy, Daler Mehndi"
2025-04-18T00:17:53.814Z,1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Dancing With Your Ghost,2019-06-28,Sasha Alex Sloan
2025-04-18T00:13:52.423Z,5fBghXeYCGIEVuExKytoJ9,Fell For You,Sicario,2025-01-17,Shubh
2025-04-18T00:06:09.623Z,5rurggqwwudn9clMdcchxT,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02,"Metro Boomin, Swae Lee, NAV, A Boogie Wit da Hoodie"
2025-04-18T00:02:29.743Z,3zAXHUL5YcYOA41rruvjy4,Manchala,Hasee Toh Phasee (Original Motion Picture Soundtrack),2014-01-05,"Vishal-Shekhar, Shafqat Amanat Ali, Nupur Pant"
2025-04-17T23:58:39.881Z,7G5wpuR61ABrT7R1snos7C,Kalank - Title Track,Kalank (Original Motion Picture Soundtrack),2019-04-14,"Pritam, Arijit Singh"
2025-04-17T23:51:35.544Z,432leZkBmxF6si4ftPOOdn,Ghar More Pardesiya (Kalank),Kalank (Original Motion Picture Soundtrack),2019-04-14,"Pritam, Shreya Ghoshal"
2025-04-17T23:45:28.544Z,7cgj3hMlNQmgyg9qSxWipt,Chandaliyo Ugyo Re,Naadi Dosh (Original Motion Picture Soundtrack),2022-06-23,"Aishwarya Majmudar, Kedar - Bhargav"
2025-04-17T23:42:24.199Z,0joXv5niso2T8YXWOlIe1X,Titli,Chennai Express,2013-07-03,"Vishal-Shekhar, Chinmayi, Gopi Sundar"
2025-04-17T23:36:33.166Z,1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Dancing With Your Ghost,2019-06-28,Sasha Alex Sloan
2025-04-17T23:33:14.964Z,0eCajpR75pDW0r64U6hP2x,Jo Tum Mere Ho,Jo Tum Mere Ho,2024-08-02,Anuv Jain
2025-04-17T23:29:02.662Z,2XYyriLyJSuGj4FN7QoNmM,Khudaya Khair,Billu,2009-01-05,"Pritam, Soham Chakraborty, Akriti Kakar, Monali Thakur, Gulzar"
2025-04-17T23:24:21.547Z,6VOKUdxhjSwbjinKbguOmy,Achha Lagta Hai,Aarakshan (Original Motion Picture Soundtrack),2011-07-11,"Shankar-Ehsaan-Loy, Mohit Chauhan, Shreya Ghoshal, Neuman Pinto"
2025-04-17T23:20:24.978Z,0EVu5oKg2UOwOyV0cMlTST,"Kuchh Khaas (From ""Fashion"")",Mohit Chauhan's Greatest Hits,2025-03-10,"Mohit Chauhan, Neha Bhasin"
2025-04-17T23:15:27.580Z,5fBghXeYCGIEVuExKytoJ9,Fell For You,Sicario,2025-01-17,Shubh
2025-04-17T22:16:01.679Z,0O84iaC2acwIjeopsFIS6w,"Tenu Sang Rakhna (From ""Jigra"")","Tenu Sang Rakhna (From ""Jigra"")",2024-10-03,"Achint, Arijit Singh, Anumita Nadesan, Varun Grover"
2025-04-17T22:15:04.722Z,5fBghXeYCGIEVuExKytoJ9,Fell For You,Sicario,2025-01-17,Shubh
2025-04-17T19:30:03.025Z,5BQePe9rcCJozHK3oPayYk,MVP,MVP,2024-05-10,Shubh
2025-04-17T19:26:04.142Z,7KQdgW7QzNd9oPoCzjCU76,Bandana,Bandana,2024-03-29,Shubh
2025-04-17T19:23:12.628Z,5fBghXeYCGIEVuExKytoJ9,Fell For You,Sicario,2025-01-17,Shubh
